,ID,DATE,JO,NUM_1,NUM_2,NUM_3,NUM_4,NUM_5,NUM_6
0,0,20200507,4,1,6,2,1,3,2
1,1,20200514,2,4,5,0,5,5,8
2,2,20200521,4,5,4,4,9,5,5
3,3,20200528,4,1,2,4,4,2,0
4,4,20200604,4,7,5,4,6,5,5
5,5,20200611,5,1,9,3,2,0,2
6,6,20200618,2,5,9,7,0,9,3
7,7,20200625,4,2,3,4,0,5,8
8,8,20200702,3,1,3,3,5,1,0
9,9,20200709,2,7,7,0,1,7,3
10,10,20200716,1,8,6,7,6,5,4
11,11,20200723,5,0,7,6,6,7,6
12,12,20200730,1,6,6,9,2,4,5
13,13,20200806,3,4,3,2,4,9,6
14,14,20200813,4,4,7,7,2,3,8
15,15,20200820,4,6,6,4,0,5,6
16,16,20200827,3,3,1,7,2,2,7
17,17,20200903,1,5,6,2,2,2,2
18,18,20200910,5,8,5,9,2,1,9
19,19,20200917,1,8,1,9,6,0,5
20,20,20200924,1,2,3,9,9,3,7
21,21,20201001,1,9,1,3,6,2,2
22,22,20201008,4,1,5,8,0,7,1
23,23,20201015,2,0,0,2,9,8,9
24,24,20201022,3,4,6,3,6,3,7
25,25,20201029,3,1,9,2,8,5,6
26,26,20201105,5,4,1,2,0,0,8
27,27,20201112,5,0,8,0,8,3,9
28,28,20201119,4,3,5,5,1,9,2
29,29,20201126,3,4,8,7,2,1,5
30,30,20201203,1,7,7,1,5,9,8
31,31,20201210,1,5,7,9,1,7,6
32,32,20201217,4,5,9,6,2,1,9
33,33,20201224,4,9,7,7,6,8,6
34,34,20201231,1,5,4,2,4,5,4
35,35,20210107,4,7,3,5,7,5,7
36,36,20210114,3,4,5,3,8,7,7
37,37,20210121,3,3,0,7,8,3,6
38,38,20210128,1,1,9,9,1,3,7
39,39,20210204,2,6,3,1,0,8,6
40,40,20210211,1,7,4,2,7,1,4
41,41,20210218,4,9,7,4,2,3,1
42,42,20210225,4,5,8,9,8,3,9
43,43,20210304,3,6,6,8,8,1,8
44,44,20210311,2,3,1,8,7,5,4
45,45,20210318,4,0,1,0,9,6,3
46,46,20210325,4,9,4,1,3,2,7
47,47,20210401,1,7,7,9,3,6,3
48,48,20210408,4,3,0,5,2,4,8
49,49,20210415,3,5,9,2,1,1,1
50,50,20210422,2,5,1,0,0,1,2
51,51,20210429,2,5,9,7,2,2,7
52,52,20210506,5,6,4,9,6,3,8
53,53,20210513,5,6,2,7,0,5,4
54,54,20210520,1,4,7,7,8,7,9
55,55,20210527,1,9,9,3,1,7,4
56,56,20210603,2,2,7,2,2,8,6
57,57,20210610,5,9,3,9,3,2,7
58,58,20210617,2,1,5,9,0,5,6
59,59,20210624,5,2,1,6,5,1,0
60,60,20210701,3,5,7,5,8,6,2
61,61,20210708,4,0,1,4,0,7,3
62,62,20210715,4,3,3,5,2,2,6
63,63,20210722,5,6,7,6,0,0,3
64,64,20210729,4,7,3,2,3,7,5
65,65,20210805,4,9,9,0,8,3,4
66,66,20210812,3,8,0,7,5,3,1
67,67,20210819,5,1,9,1,0,7,5
68,68,20210826,4,7,7,5,5,3,0
69,69,20210902,1,2,4,8,6,7,2
70,70,20210909,1,1,5,9,4,8,6
71,71,20210916,2,1,1,4,6,8,7
72,72,20210923,1,5,0,1,0,2,6
73,73,20210930,2,2,5,6,7,8,9
74,74,20211007,3,6,5,8,3,4,0
75,75,20211014,1,8,9,0,9,6,6
76,76,20211021,5,4,3,6,3,0,5
77,77,20211028,2,5,1,5,8,8,4
78,78,20211104,5,4,0,8,3,7,9
79,79,20211111,1,6,4,1,3,5,8
80,80,20211118,1,9,7,1,5,1,1
81,81,20211125,4,9,3,5,0,5,3
82,82,20211202,3,1,3,6,1,2,8
83,83,20211209,4,5,8,0,1,4,8
84,84,20211216,5,3,3,8,4,0,7
85,85,20211223,5,9,5,0,3,2,0
86,86,20211230,4,7,4,0,9,4,2
87,87,20220106,2,3,2,9,6,9,5
88,88,20220113,4,5,8,5,4,4,9
89,89,20220120,5,2,3,5,8,5,8
90,90,20220127,3,5,8,6,0,5,4
91,91,20220203,4,4,8,7,3,8,1
92,92,20220210,4,1,8,0,2,4,9
93,93,20220217,1,8,0,7,1,2,1
94,94,20220224,5,8,4,1,3,3,1
95,95,20220303,2,3,3,0,4,8,1
96,96,20220310,1,7,8,3,6,8,8
97,97,20220317,4,7,0,7,4,3,7
98,98,20220324,3,2,0,2,9,9,7
99,99,20220331,4,4,1,9,3,9,9
100,100,20220407,4,0,6,8,5,6,1
101,101,20220414,3,0,3,0,5,6,9
102,102,20220421,4,7,8,6,2,7,6
103,103,20220428,2,6,8,9,9,2,2
104,104,20220505,1,1,8,0,5,0,6
105,105,20220512,5,3,0,7,6,9,5
106,106,20220519,3,1,9,2,7,5,0
107,107,20220526,3,6,0,5,1,9,5
